iter	Passed	Remaining
0	150	29983
1	153	15234
2	157	10367
3	161	7919
4	164	6416
5	167	5421
6	170	4704
7	173	4163
8	176	3746
9	179	3414
10	182	3134
11	186	2914
12	189	2719
13	192	2552
14	195	2408
15	198	2278
16	201	2164
17	203	2060
18	206	1968
19	209	1885
20	212	1810
21	214	1736
22	217	1671
23	219	1612
24	222	1557
25	225	1508
26	227	1460
27	230	1415
28	233	1374
29	235	1335
30	238	1299
31	241	1267
32	244	1235
33	246	1205
34	249	1175
35	252	1148
36	254	1122
37	257	1096
38	259	1072
39	262	1050
40	264	1027
41	267	1005
42	269	984
43	271	963
44	273	942
45	275	922
46	277	902
47	279	884
48	281	866
49	282	848
50	284	832
51	286	816
52	288	801
53	290	786
54	292	771
55	294	757
56	296	743
57	298	730
58	299	716
59	302	704
60	304	693
61	306	681
62	307	669
63	309	658
64	311	647
65	313	636
66	315	625
67	317	615
68	319	605
69	320	595
70	322	586
71	324	577
72	326	568
73	328	559
74	330	550
75	332	542
76	334	534
77	336	526
78	338	519
79	341	511
80	342	503
81	345	496
82	347	489
83	349	482
84	351	475
85	353	468
86	355	462
87	357	455
88	359	448
89	362	442
90	364	436
91	366	429
92	368	423
93	370	417
94	372	412
95	374	406
96	377	400
97	379	394
98	380	388
99	382	382
100	384	377
101	386	371
102	388	365
103	390	360
104	392	355
105	394	350
106	397	345
107	399	340
108	402	335
109	404	330
110	406	325
111	408	320
112	410	315
113	412	310
114	414	306
115	416	301
116	417	296
117	419	291
118	421	287
119	423	282
120	426	278
121	428	273
122	430	269
123	432	264
124	434	260
125	436	256
126	438	251
127	440	247
128	442	243
129	443	239
130	446	234
131	448	230
132	449	226
133	451	222
134	454	218
135	456	214
136	458	210
137	460	206
138	462	202
139	464	198
140	466	195
141	468	191
142	470	187
143	472	183
144	474	179
145	476	176
146	478	172
147	480	168
148	482	165
149	484	161
150	486	157
151	488	154
152	490	150
153	492	147
154	494	143
155	496	139
156	498	136
157	500	133
158	502	129
159	504	126
160	506	122
161	508	119
162	510	115
163	512	112
164	514	109
165	516	105
166	518	102
167	520	99
168	522	95
169	524	92
170	527	89
171	529	86
172	531	82
173	533	79
174	535	76
175	537	73
176	539	70
177	541	66
178	543	63
179	545	60
180	547	57
181	549	54
182	551	51
183	553	48
184	555	45
185	557	41
186	559	38
187	562	35
188	564	32
189	566	29
190	568	26
191	570	23
192	572	20
193	574	17
194	576	14
195	578	11
196	580	8
197	582	5
198	584	2
199	586	0
